wavelength_nm,sigma_sca_m2,sigma_abs_m2
7.667334669338677031e+02,2.757932551745130010e-14,5.378711250731271654e-15
7.701402805611221538e+02,2.685652409386564056e-14,5.184176485535950130e-15
7.735470941883767182e+02,2.616026167115461874e-14,5.000009042116639182e-15
7.769539078156312826e+02,2.548903064109936744e-14,4.825440017415149500e-15
7.803607214428857333e+02,2.484144967432895374e-14,4.659769199415210835e-15
7.837675350701401840e+02,2.421625026798365709e-14,4.502358085046715167e-15
7.871743486973947483e+02,2.361226492143577332e-14,4.352623671746042880e-15
7.905811623246493127e+02,2.302841672923431601e-14,4.210032932951353238e-15
7.939879759519037634e+02,2.246371020854126907e-14,4.074097898100635992e-15
7.973947895791582141e+02,2.191722320274530321e-14,3.944371266963018443e-15
8.008016032064127785e+02,2.139736379784195777e-14,3.824644953186801293e-15
8.042084168336673429e+02,2.092276754862273349e-14,3.723239599737514623e-15
8.076152304609217936e+02,2.046183171036982304e-14,3.625761352546401711e-15
8.110220440881763579e+02,2.001401477549754592e-14,3.531989790470063742e-15
8.144288577154308086e+02,1.957880626841596633e-14,3.441719932905797796e-15
8.178356713426853730e+02,1.915572428997315231e-14,3.354760971748787411e-15
8.212424849699398237e+02,1.874431330189306154e-14,3.270935120516204098e-15
8.246492985971943881e+02,1.834414212470344701e-14,3.190076568813149881e-15
8.280561122244488388e+02,1.795480212580262279e-14,3.112030531585450387e-15
8.314629258517034032e+02,1.757590557706949343e-14,3.036652383734436874e-15
8.348697394789578539e+02,1.720708416383894228e-14,2.963806871671424785e-15
8.382765531062124182e+02,1.684798762918035448e-14,2.893367394281691652e-15
8.416833667334668689e+02,1.649828253927481504e-14,2.825215346561233665e-15
8.450901803607214333e+02,1.615765115731516945e-14,2.759239519893741947e-15
8.484969939879758840e+02,1.582579041478421367e-14,2.695335553562684923e-15
8.519038076152304484e+02,1.550730800292284670e-14,2.637470200265006189e-15
8.553106212424848991e+02,1.520058724547145646e-14,2.584486695480191583e-15
8.587174348697394635e+02,1.490142712602170046e-14,2.533043576328343536e-15
8.621242484969939142e+02,1.460959337183595641e-14,2.483073949654051376e-15
8.655310621242484785e+02,1.432486120717538532e-14,2.434514645185482245e-15
8.689378757515029292e+02,1.404701482875990767e-14,2.387305966514021362e-15
8.723446893787574936e+02,1.377584691979924650e-14,2.341391461245705740e-15
8.757515030060119443e+02,1.351115819911658343e-14,2.296717708674511330e-15
8.791583166332665087e+02,1.325275700224129204e-14,2.253234123482531562e-15
8.825651302605210731e+02,1.300045889166555757e-14,2.210892774112125822e-15
8.859719438877755238e+02,1.275408629373968231e-14,2.169648214580790232e-15
8.893787575150300881e+02,1.251346815993384822e-14,2.129457328622333889e-15
8.927855711422845388e+02,1.227843965041619597e-14,2.090279185140060544e-15
8.961923847695391032e+02,1.204884183809761778e-14,2.052074904049313883e-15
8.995991983967935539e+02,1.182452143147210008e-14,2.014807531669546548e-15
9.030060120240481183e+02,1.161108274705559681e-14,1.978531050439655882e-15
9.064128256513025690e+02,1.140315279803968796e-14,1.943102159852362281e-15
9.098196392785571334e+02,1.119982178158706301e-14,1.908477773443136666e-15
9.132264529058115841e+02,1.100096675996322168e-14,1.874630157595506428e-15
9.166332665330661484e+02,1.080646877807830336e-14,1.841532821586417871e-15
9.200400801603205991e+02,1.061621270192648205e-14,1.809160449522582874e-15
9.234468937875751635e+02,1.043008706556703832e-14,1.777488836633064179e-15
9.268537074148296142e+02,1.024798392606029671e-14,1.746494829602094639e-15
9.302605210420841786e+02,1.006979872582253648e-14,1.716156270651938856e-15
9.336673346693386293e+02,9.895430161906960717e-15,1.686451945108333544e-15
9.370741482965931937e+02,9.724780061758616504e-15,1.657361532202425392e-15
9.404809619238476444e+02,9.557753265027727430e-15,1.628865558882413055e-15
9.438877755511022087e+02,9.394257511058118247e-15,1.600945356425472208e-15
9.472945891783566594e+02,9.234203331699207416e-15,1.573583019657166840e-15
9.507014028056112238e+02,9.078509477821522126e-15,1.547753810227206790e-15
9.541082164328656745e+02,8.929859533642389711e-15,1.526214125369764203e-15
9.575150300601202389e+02,8.784228640551931861e-15,1.505081685589940049e-15
9.609218436873746896e+02,8.641543514668858829e-15,1.484344959912389769e-15
9.643286573146292540e+02,8.501732957105860697e-15,1.463992845419890378e-15
9.677354709418837047e+02,8.364727784207062407e-15,1.444014647626542480e-15
9.711422845691382690e+02,8.230460760614395533e-15,1.424400061915983416e-15
9.745490981963927197e+02,8.098866535019121624e-15,1.405139155978011750e-15
9.779559118236472841e+02,7.969881578461702852e-15,1.386222353182315420e-15
9.813627254509017348e+02,7.843444125054125673e-15,1.367640416831860054e-15
9.847695390781562992e+02,7.719494115005201337e-15,1.349384435242443026e-15
9.881763527054107499e+02,7.597973139837934158e-15,1.331445807598878918e-15
