xy_axis1_nm,xy_axis2_nm,|E/E0|^2
-7.875000000000000000e+01,-1.296093750000000000e+02,7.139729025027991005e-01
-7.710937500000000000e+01,-1.296093750000000000e+02,7.069607412801902635e-01
-7.546875000000000000e+01,-1.296093750000000000e+02,6.995690179054662172e-01
-7.382812500000000000e+01,-1.296093750000000000e+02,6.917955849153170078e-01
-7.218750000000000000e+01,-1.296093750000000000e+02,6.836396188371939298e-01
-7.054687500000000000e+01,-1.296093750000000000e+02,6.751017251920421458e-01
-6.890625000000000000e+01,-1.296093750000000000e+02,6.661840430610143082e-01
-6.726562500000000000e+01,-1.296093750000000000e+02,6.568903482223170665e-01
-6.562500000000000000e+01,-1.296093750000000000e+02,6.472261537658655639e-01
-6.398437500000000000e+01,-1.296093750000000000e+02,6.371988069980329961e-01
-6.234375000000000000e+01,-1.296093750000000000e+02,6.268175813586791545e-01
-6.070312500000000000e+01,-1.296093750000000000e+02,6.160937619900022089e-01
-5.906250000000000000e+01,-1.296093750000000000e+02,6.050407235242177828e-01
-5.742187500000000000e+01,-1.296093750000000000e+02,5.936739985972184774e-01
-5.578125000000000000e+01,-1.296093750000000000e+02,5.820113355509958231e-01
-5.414062500000000000e+01,-1.296093750000000000e+02,5.700727437615334958e-01
-5.250000000000000000e+01,-1.296093750000000000e+02,5.578805250239423641e-01
-5.085937500000000000e+01,-1.296093750000000000e+02,5.454592894455420060e-01
-4.921875000000000000e+01,-1.296093750000000000e+02,5.328359543429512790e-01
-4.757812500000000000e+01,-1.296093750000000000e+02,5.200397247134053158e-01
-4.593750000000000000e+01,-1.296093750000000000e+02,5.071020539553459106e-01
-4.429687500000000000e+01,-1.296093750000000000e+02,4.940565836504406394e-01
-4.265625000000000000e+01,-1.296093750000000000e+02,4.809390613894188871e-01
-4.101562500000000000e+01,-1.296093750000000000e+02,4.677872358278243325e-01
